date,Aapl_open,Aapl_high,Aapl_low,Aapl_close,Aapl_volume,Aapl_Real Middle Band,Aapl_Real Lower Band,Aapl_Real Upper Band,Aapl_MACD,Aapl_MACD_Hist,Aapl_MACD_Signal,Aapl_RSI,Aapl_CCI,Aapl_Aroon Up,Aapl_Aroon Down,Googl_open,Googl_high,Googl_low,Googl_close,Googl_volume,Googl_Real Middle Band,Googl_Real Lower Band,Googl_Real Upper Band,Googl_MACD_Signal,Googl_MACD_Hist,Googl_MACD,Googl_RSI,Googl_CCI,Googl_Aroon Up,Googl_Aroon Down
2020-11-13,119.44,119.6717,117.87,119.26,81688586.0,115.3774,108.821,121.9339,0.8014,0.6274,0.174,56.0289,92.7879,71.4286,35.7143,1748.0,1777.13,1735.98,1772.26,1487877.0,1653.6565,1478.1509,1829.1621,51.3412,9.7105,61.0517,68.6323,89.3162,71.4286,14.2857
2020-11-12,119.62,120.53,118.57,119.21,103350674.0,115.3552,108.8488,121.8616,0.619,0.6018,0.0172,55.9533,104.2993,78.5714,42.8571,1742.0,1764.98,1737.97,1742.82,1324363.0,1643.4285,1472.9935,1813.8635,48.9136,10.7407,59.6543,65.8694,90.7375,78.5714,21.4286
2020-11-11,117.19,119.63,116.44,119.49,112294954.0,115.4198,108.7383,122.1013,0.3822,0.5154,-0.1333,56.4585,79.0043,85.7143,50.0,1748.4,1762.9,1743.06,1747.23,1591906.0,1634.061,1465.928,1802.194,46.2284,13.7722,60.0006,66.6864,107.4808,85.7143,28.5714
2020-11-10,115.55,117.59,114.13,115.97,138023390.0,115.4943,108.6029,122.3858,0.0459,0.308,-0.2621,51.3284,6.1988,92.8571,57.1429,1729.77,1759.38,1716.12,1737.72,2151058.0,1624.8715,1462.4925,1787.2505,42.7853,16.3355,59.1209,65.8379,111.18,92.8571,35.7143
2020-11-09,120.5,121.99,116.05,116.32,154515315.0,115.7404,108.4582,123.0226,-0.0257,0.3135,-0.3391,51.8929,50.4188,100.0,64.2857,1795.98,1816.89,1757.545,1761.42,2672024.0,1616.339,1460.7852,1771.8928,38.7015,19.4049,58.1063,69.9616,172.21,100.0,42.8571
2020-11-06,118.32,119.2,116.13,118.69,114457922.0,116.1337,107.9723,124.2951,-0.1522,0.2653,-0.4175,55.748,39.2571,0.0,71.4286,1751.34,1768.495,1736.68,1759.73,1431084.0,1606.4975,1464.5981,1748.3969,33.8502,19.7029,53.5532,69.8365,183.2262,92.8571,50.0
2020-11-05,117.95,119.62,116.8686,119.03,126387074.0,116.0376,107.954,124.1212,-0.5528,-0.069,-0.4838,55.9675,49.17,0.0,78.5714,1770.45,1791.818,1741.03,1762.5,1987907.0,1594.0335,1464.9481,1723.1189,28.9245,18.2102,47.1348,70.2819,242.14,100.0,57.1429
2020-11-04,114.14,115.59,112.35,114.95,138235482.0,115.8349,107.8382,123.8316,-1.0698,-0.6032,-0.4666,50.4965,-41.5648,7.1429,85.7143,1705.5803,1770.03,1703.0,1745.85,3567149.0,1580.08,1467.5871,1692.5729,24.372,13.603,37.9749,69.1848,253.8459,100.0,64.2857
2020-11-03,109.66,111.49,108.73,110.44,107624448.0,115.8414,107.848,123.8348,-1.2994,-0.9837,-0.3157,43.2603,-136.2745,0.0,92.8571,1630.76,1659.0,1612.108,1645.66,1571641.0,1565.7445,1469.5052,1661.9838,20.9712,6.4553,27.4265,61.1763,127.7734,85.7143,71.4286
2020-11-02,109.11,110.68,107.32,108.77,122866899.0,115.9772,108.2816,123.6728,-1.1152,-1.0453,-0.0698,40.2576,-180.0445,0.0,100.0,1623.54,1658.24,1614.24,1624.32,2211449.0,1556.0125,1454.8286,1657.1964,19.3574,4.4078,23.7652,59.0726,125.8349,92.8571,78.5714
